User Utterance,Service,API Request Type,API Request URL,API Request Payload,Test_File,Results_File
Can I retrieve all reports for a specific cost center?,Expense Reports & Status,GET,/api/v3.0/expense/reports,"customFilter for cost center custom field, paginate results",test_014_can_i_retrieve_all_reports_for_a_specific_cost_center.py,test_014_results.json
Which reports were paid via ACH last month?,Expense Reports & Status,GET,/api/v3.0/expense/reports,paymentStatusCode=P_PAID&paidDateAfter={lastMonth}&paymentType=ACH,test_015_which_reports_were_paid_via_ach_last_month.py,test_015_results.json
Show me my draft reports that haven't been submitted yet,Expense Reports & Status,GET,/api/v3.0/expense/reports,approvalStatusCode=A_NOTF&user=me,test_016_show_me_my_draft_reports_that_havent_been_submitted_yet.py,test_016_results.json
What's the average approval time for reports this quarter?,Expense Reports & Status,GET,/api/v3.0/expense/reports,"submitDateAfter={quarterStart}, calculate delta between submitDate and approvedDate",test_017_whats_the_average_approval_time_for_reports_this_quarter.py,
Can I see all reports that triggered policy exceptions?,Expense Reports & Status,GET,/api/v3.0/expense/reports,hasException=Y,test_018_can_i_see_all_reports_that_triggered_policy_exceptions.py,test_018_results.json
Which reports are eligible for early payment?,Expense Reports & Status,GET,/api/v3.0/expense/reports,approvalStatusCode=A_APPR&paymentStatusCode=P_NOTP&approvedDate<{5daysAgo},test_019_which_reports_are_eligible_for_early_payment.py,test_019_results.json
Show me expense reports with missing manager approval,Expense Reports & Status,GET,/api/v3.0/expense/reports,approvalStatusCode=A_PEND&approverName=null,test_020_show_me_expense_reports_with_missing_manager_approval.py,test_020_results.json
What reports did I approve yesterday?,Expense Reports & Status,GET,/expensereports/v4/users/{userId}/context/MANAGER/reportsToApprove,"Filter for approvedDate=yesterday, may need custom tracking",test_021_what_reports_did_i_approve_yesterday.py,test_021_results.json
Can I see reports from employees in the Chicago office?,Expense Reports & Status,GET,/api/v3.0/expense/reports,"user=ALL, filter by location custom field or employee location",test_022_can_i_see_reports_from_employees_in_the_chicago_office.py,test_022_results.json
Which reports have been open for more than 30 days?,Expense Reports & Status,GET,/api/v3.0/expense/reports,approvalStatusCode=A_PEND&createDateBefore={30daysAgo},test_023_which_reports_have_been_open_for_more_than_30_days.py,test_023_results.json
Show me reports with foreign currency expenses,Expense Reports & Status,GET,/api/v3.0/expense/reports,hasForeignCurrency=Y or check CurrencyCode≠ReportCurrency,test_024_show_me_reports_with_foreign_currency_expenses.py,test_024_results.json
What's my reimbursement history for the past year?,Expense Reports & Status,GET,/api/v3.0/expense/reports,user=me&paymentStatusCode=P_PAID&paidDateAfter={yearAgo},test_025_whats_my_reimbursement_history_for_the_past_year.py,test_025_results.json
Can I see reports that exceed my approval threshold?,Expense Reports & Status,GET,/api/v3.0/expense/reports,"approvalStatusCode=A_PEND&totalApprovedAmount>{threshold}, requires manager context",test_026_can_i_see_reports_that_exceed_my_approval_threshold.py,
Which reports are pending processor approval?,Expense Reports & Status,GET,/api/v3.0/expense/reports,approvalStatusCode=A_APPR&paymentStatusCode=P_NOTP,test_027_which_reports_are_pending_processor_approval.py,
Show me all recalled expense reports,Expense Reports & Status,GET,/api/v3.0/expense/reports,approvalStatusCode=A_RESU&recalledDate IS NOT NULL,test_028_show_me_all_recalled_expense_reports.py,test_028_results.json
What reports were created from travel requests?,Expense Reports & Status,GET,/api/v3.0/expense/reports,Filter by travelRequestId custom field or link,test_029_what_reports_were_created_from_travel_requests.py,test_029_results.json
Can I see reports with specific report names?,Expense Reports & Status,GET,/api/v3.0/expense/reports,reportName contains search term,,
Which reports have comments from approvers?,Expense Reports & Status,GET,/expensereports/v4/reports/{reportId},Check for approver comments in workflow history,,
Show me the full details of a specific expense report,Expense Reports & Status,GET,/api/expense/expensereport/v2.0/report/{reportId},Returns complete report with entries and allocations,,
What's the payment method for my approved reports?,Expense Reports & Status,GET,/api/v3.0/expense/reports,"paymentStatusCode=A_APPR, check PaymentType field",test_033_whats_the_payment_method_for_my_approved_reports.py,test_033_results.json
Can I see reports where I'm listed as a delegate?,Expense Reports & Status,GET,/api/v3.0/expense/reports,delegateLoginID=me,,
Which reports need receipts attached before approval?,Expense Reports & Status,GET,/api/v3.0/expense/reports,hasImages=false&approvalStatusCode=A_PEND&requiresReceipts=Y,,
Show me reports with expenses from my corporate card,Expense Reports & Status,GET,/api/v3.0/expense/reports,paymentType=CBCP (Company Billed Corporate Pay),test_036_show_me_reports_with_expenses_from_my_corporate_card.py,test_036_results.json
What reports have been audited by finance?,Expense Reports & Status,GET,/api/v3.0/expense/reports,auditStatus=AUDITED or custom audit field,,
Can I see the workflow history of my expense report?,Expense Reports & Status,GET,/expensereports/v4/reports/{reportId},Includes workflow transitions in response,,
Which reports were submitted by my assistant?,Expense Reports & Status,GET,/api/v3.0/expense/reports,submitterLoginID={assistantID},,
Show me reports with allocations to multiple projects,Expense Reports & Status,GET,/api/v3.0/expense/reports,"hasAllocations=Y, then check allocation count",,
What's the status of reports I submitted on behalf of my manager?,Expense Reports & Status,GET,/api/v3.0/expense/reports,user={managerID}&submitterLoginID=me,,
What are the line items on this expense report?,Expense Entries & Details,GET,/expensereports/v4/reports/{reportId}/expenses,N/A,,
Show me all parking expenses from last month,Expense Entries & Details,GET,/api/v3.0/expense/entries,expenseTypeCode=PARKN&transactionDateAfter={lastMonth},,
Which expenses don't have receipts attached?,Expense Entries & Details,GET,/api/v3.0/expense/entries,hasImage=N,,
Can I see all my hotel expenses for Q4?,Expense Entries & Details,GET,/api/v3.0/expense/entries,expenseTypeCode=LODNG&transactionDateAfter=2024-10-01&user=me,,
What's the total I've spent on airfare this year?,Expense Entries & Details,GET,/api/v3.0/expense/entries,"expenseTypeCode=AIRFR&transactionDateAfter={yearStart}&user=me, sum amounts",,
Show me expenses with vendor violations,Expense Entries & Details,GET,/api/v3.0/expense/entries,hasVendorViolation=Y or check exception details,,
Which entries are itemized?,Expense Entries & Details,GET,/api/v3.0/expense/entries,hasItemizations=Y,,
Can I see all mileage entries with routes?,Expense Entries & Details,GET,/api/v3.0/expense/entries,"expenseTypeCode=MILEG, Journey object contains route details",,
What expenses were paid with my personal credit card?,Expense Entries & Details,GET,/api/v3.0/expense/entries,paymentTypeCode=CASHX (Out of Pocket),,
Show me entries that exceed policy thresholds,Expense Entries & Details,GET,/api/v3.0/expense/entries,hasException=Y,,
Which expenses have attendees associated?,Expense Entries & Details,GET,/api/v3.0/expense/entries,hasAttendees=Y,,
Can I update the business purpose on an expense?,Expense Entries & Details,PUT,/api/v3.0/expense/entries/{id},Body: {Comment: updated business purpose},,
What's the merchant name for this transaction?,Expense Entries & Details,GET,/api/v3.0/expense/entries/{id},Check VendorDescription field,,
Show me expenses with VAT that needs reclaiming,Expense Entries & Details,GET,/api/v3.0/expense/entries,hasVAT=Y&countryCode in EU countries,,
How do I delete an expense entry from my report?,Expense Entries & Details,DELETE,/api/v3.0/expense/entries/{id},Only for unsubmitted reports,,
Can I see all entries allocated to Project Alpha?,Expense Entries & Details,GET,/api/v3.0/expense/entries,Custom field filter for project=Alpha,,
Which expenses were created from e-receipts?,Expense Entries & Details,GET,/api/v3.0/expense/entries,sourceType=E-Receipt or similar indicator,,
Show me entries with notes or comments,Expense Entries & Details,GET,/api/v3.0/expense/entries,Comment IS NOT NULL,,
What's the allocation breakdown for this expense?,Allocations & Splitting,GET,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/allocations,Returns allocation details,,
Can I update allocation percentages?,Allocations & Splitting,PATCH,/expensereports/v4/reports/{reportId}/allocations/{allocationId},"Body: {percentage, customData}",,
Show me all expenses with cross-departmental allocations,Allocations & Splitting,GET,/api/v3.0/expense/entries,"hasAllocations=Y, then check allocation departments",,
What are the itemized charges on this hotel bill?,Itemizations,GET,/expensereports/v4/reports/{reportId}/expenses/{expenseId}/itemizations,Returns itemization details,,
Who attended this business dinner?,Attendees & Entertainment,GET,/api/v3.0/expense/entryattendeeassociations,entryID={id},,
How do I add attendees to an entertainment expense?,Attendees & Entertainment,POST,/api/v3.0/expense/entryattendeeassociations,"Body: {EntryID, AttendeeID, Amount}",,
Show me all expenses with external attendees,Attendees & Entertainment,GET,/api/v3.0/expense/attendees,attendeeTypeCode=BUSGUEST or similar,,
What's the total I've spent entertaining clients?,Attendees & Entertainment,GET,/api/v3.0/expense/entries,expenseTypeCode=ENTMT&hasAttendees=Y&transactionDateAfter={period},,
Can I see attendee details for compliance reporting?,Attendees & Entertainment,GET,/api/v3.0/expense/attendees,"attendeeTypeCode=HCP (Healthcare Professional), for pharma compliance",,
How do I create a new attendee?,Attendees & Entertainment,POST,/api/v3.0/expense/attendees,"Body: {AttendeeType, FirstName, LastName, Company, Title}",,
Which expenses have attendee count over 5?,Attendees & Entertainment,GET,/api/v3.0/expense/entryattendeeassociations,"Group by EntryID, count > 5",,
Show me all meals with attendees from last quarter,Attendees & Entertainment,GET,/api/v3.0/expense/entries,expenseTypeCode=MEALS&hasAttendees=Y&transactionDateAfter={quarterStart},,
Can I update attendee information?,Attendees & Entertainment,PUT,/api/v3.0/expense/attendees/{id},Body: Updated attendee details,,
What's the per-person cost breakdown?,Attendees & Entertainment,GET,/api/v3.0/expense/entryattendeeassociations,Amount field shows per-attendee allocation,,
How do I remove an attendee from an expense?,Attendees & Entertainment,DELETE,/api/v3.0/expense/entryattendeeassociations/{id},Removes attendee association,,
What travel requests are pending my approval?,Travel Requests,GET,/travelrequest/v4/requests,view=TOAPPROVE&userId={managerId},,
Show me my submitted travel requests,Travel Requests,GET,/travelrequest/v4/requests,view=OWNED&userId={userId},,
Has my travel request for next month been approved?,Travel Requests,GET,/travelrequest/v4/requests/{uuid},Check status field in response,,
Can I create a new travel request?,Travel Requests,POST,/travelrequest/v4/requests,"Body: {name, startDate, endDate, mainDestinationName}",,
How do I add expected expenses to my travel request?,Travel Requests,POST,/travelrequest/v4/requests/{uuid}/expenses,"Body: Expected expense details (type, amount, date)",,
What's the approval workflow for this request?,Travel Requests,GET,/travelrequest/v4/requests/{uuid}/approvers,Returns approval chain,,
Show me travel requests for the sales team,Travel Requests,GET,/travelrequest/v4/requests,userId=ALL with department filter logic,,
Can I update the destination on my pending request?,Travel Requests,PUT,/travelrequest/v4/requests/{uuid},Body: Updated request details,,
How do I cancel a travel request?,Travel Requests,POST,/travelrequest/v4/requests/{uuid}/cancel,No body required,,
Which travel requests exceed the budget?,Travel Requests,GET,/travelrequest/v4/requests,"Check totalApprovedAmount against budget, requires custom logic",,
Show me requests that need travel policy verification,Travel Requests,GET,/travelrequest/v4/requests,status=PENDING_EXTERNAL_VALIDATION,,
What's the estimated cost of my upcoming travel?,Travel Requests,GET,/travelrequest/v4/requests/{uuid}/expenses,Sum expected expense amounts,,
Can I add segments to my travel request?,Travel Requests,POST,/travelrequest/v4/requests/{uuid}/segments,"Body: Segment details (air, hotel, car)",,
How do I approve a travel request?,Travel Requests,POST,/travelrequest/v4/requests/{uuid}/approve,Body: {comment (optional)},,
Show me requests with cash advance approved,Travel Requests,GET,/travelrequest/v4/requests,Filter for hasCashAdvance=Y,,
What travel requests were recently denied?,Travel Requests,GET,/travelrequest/v4/requests,status=DENIED,,
Can I see the history of changes to this request?,Travel Requests,GET,/travelrequest/v4/requests/{uuid},Workflow history in response,,
How do I send back a request for more information?,Travel Requests,POST,/travelrequest/v4/requests/{uuid}/sendback,Body: {comment with reason},,
Which requests are awaiting external system validation?,Travel Requests,GET,/travelrequest/v4/requests,status=PENDING_EXTERNAL_VALIDATION,,
Show me all international travel requests,Travel Requests,GET,/travelrequest/v4/requests,Filter by international destination codes,,
What's the purpose of this travel request?,Travel Requests,GET,/travelrequest/v4/requests/{uuid},businessPurpose field,,
Can I assign a policy exception to this request?,Travel Requests,PUT,/travelrequest/v4/requests/{uuid},Include policy exception in request body,,
How do I retrieve requests for a specific traveler?,Travel Requests,GET,/travelrequest/v4/requests,userId={travelerId},,
Show me requests with comments from approvers,Travel Requests,GET,/travelrequest/v4/requests/{uuid},Comments in workflow section,,
What are the expected expenses on this travel request?,Expected Expenses,GET,/travelrequest/v4/requests/{uuid}/expenses,Returns expected expense list,,
How do I add a hotel estimate to my request?,Expected Expenses,POST,/travelrequest/v4/requests/{uuid}/expenses,"Body: {expenseType: LODGING, estimatedAmount, dates}",,
Can I update the estimated airfare cost?,Expected Expenses,PUT,/travelrequest/v4/requests/{uuid}/expenses/{expenseId},Body: Updated expense details,,
Show me the total estimated cost breakdown,Expected Expenses,GET,/travelrequest/v4/requests/{uuid}/expenses,Sum by expense type,,
How do I delete an expected expense?,Expected Expenses,DELETE,/travelrequest/v4/requests/{uuid}/expenses/{expenseId},Removes expense from request,,
What expected expenses need manager approval?,Expected Expenses,GET,/travelrequest/v4/requests/{uuid}/expenses,Filter for expenses above approval threshold,,
Can I allocate expected expenses to cost centers?,Expected Expenses,POST,/travelrequest/v4/requests/{uuid}/allocations,Body: Allocation details for expected expenses,,
What are my upcoming trips?,Itineraries & Trips,GET,/api/travel/trip/v1.1/trips,startDate={today}&includeMetadata=true&includeVirtual=false,,
Show me the complete itinerary for my New York trip,Itineraries & Trips,GET,/api/v1.1/Itinerary/{tripId},Returns all segments and details,,
When is my next flight?,Itineraries & Trips,GET,/api/travel/trip/v1.1/trips,"startDate={today}, parse Air segments for next departure",,
Can I see my hotel confirmation number?,Itineraries & Trips,GET,/api/v1.1/Itinerary/{tripId},Parse Lodging segments for ConfirmationNumber,,
What rental car do I have reserved?,Itineraries & Trips,GET,/api/travel/trip/v1.1/trips,Parse Car segments for reservation details,,
Show me all trips for Q1 2025,Itineraries & Trips,GET,/api/travel/trip/v1.1/trips,startDate=2025-01-01&endDate=2025-03-31,,
How do I add a booking to my itinerary?,Itineraries & Trips,POST,/api/travel/booking/v1.1/,Body: Booking with segments (Air/Hotel/Car),,
Can I update my hotel reservation?,Itineraries & Trips,POST,/api/travel/booking/v1.1/,Body: Updated Hotel segment with same tripId,,
What's my flight status?,Itineraries & Trips,GET,/api/travel/trip/v1.1/trips,"Parse Air segment for FlightNumber, query flight status API externally",,
Show me trips where I'm the travel arranger,Itineraries & Trips,GET,/api/travel/trip/v1.1/trips,Filter for trips arranged by user,,
Can I see trips with unused airline tickets?,Itineraries & Trips,GET,/api/travelprofile/v2.0/profile,UnusedTickets section in profile,,
How do I cancel my trip?,Itineraries & Trips,POST,/api/travel/booking/v1.1/cancel,"Body: {confirmationNumber, bookingSource}",,
What trips did I take last year?,Itineraries & Trips,GET,/api/travel/trip/v1.1/trips,startDate=2024-01-01&endDate=2024-12-31,,
Show me my seat assignments for upcoming flights,Itineraries & Trips,GET,/api/v1.1/Itinerary/{tripId},Parse Air segments for SeatPreference/Assignment,,
Can I add a rail segment to my trip?,Itineraries & Trips,POST,/api/travel/booking/v1.1/,Body: Rail segment details,,
What's the total estimated cost of my trip?,Itineraries & Trips,GET,/api/travel/trip/v1.1/trips,Sum booking amounts from all segments,,
Show me trips booked through our TMC,Itineraries & Trips,GET,/api/travel/trip/v1.1/trips,Filter by BookingSource=TMC name,,
How do I retrieve trip details by confirmation number?,Itineraries & Trips,GET,/api/travel/trip/v1.1/trips,Search by RecordLocator or confirmation,,
Can I see ground transportation bookings?,Itineraries & Trips,GET,/api/v1.1/Itinerary/{tripId},Parse Ground segments if available,,
What hotels am I staying at next month?,Itineraries & Trips,GET,/api/travel/trip/v1.1/trips,"startDate={nextMonth}, parse Lodging segments",,
What are my travel preferences?,Travel Profiles,GET,/profile/v1/me,schema=travel,,
Show me my frequent flyer numbers,Travel Profiles,GET,/api/travelprofile/v2.0/profile,LoyaltyProgramEnrollment section,,
Can I update my TSA PreCheck number?,Travel Profiles,PUT,/profile/v1/me,Body: Include TSAPreCheckNumber in travel section,,
What's my preferred airline seat?,Travel Profiles,GET,/api/travelprofile/v2.0/profile,AirMemberships > PreferredSeat,,
How do I add a new loyalty program?,Travel Profiles,POST,/api/travelprofile/v2.0/profile,Body: Add to LoyaltyProgramEnrollment,,
Show me my hotel preferences,Travel Profiles,GET,/api/travelprofile/v2.0/profile,HotelMemberships section,,
What's my Global Entry number?,Travel Profiles,GET,/profile/v1/me,"schema=travel, check GlobalEntryNumber",,
Can I see my car rental preferences?,Travel Profiles,GET,/api/travelprofile/v2.0/profile,CarMemberships section,,
What's the per diem rate for London?,Travel Allowances,GET,/travelallowance/v4/configurations,location=London&startDate={tripDate},,
Show me allowance rates for my upcoming trip,Travel Allowances,GET,/travelallowance/v4/configurations,Filter by destination from itinerary,,
What invoices are pending approval?,Invoice Management,GET,/api/v3.0/invoice/paymentrequestdigests,approvalStatus=A_PEND,,
Show me the details of this invoice,Invoice Management,GET,/api/v3.0/invoice/paymentrequests/{id},Returns complete invoice details,,
How do I approve an invoice?,Invoice Management,PUT,/api/v3.0/invoice/paymentrequests/{id},Body: {status: APPROVED},,
Which invoices are ready for payment?,Invoice Management,GET,/invoice/provider-payment/v4/payments,PaymentStatus=PENDING_RETRIEVAL,,
What's the status of invoice INV-12345?,Invoice Management,GET,/api/v3.0/invoice/paymentrequestdigests,invoiceNumber=INV-12345&vendorCode={vendor},,
Show me invoices over $10000,Invoice Management,GET,/api/v3.0/invoice/paymentrequestdigests,invoiceAmount>10000,,
Can I see invoices for a specific vendor?,Invoice Management,GET,/api/v3.0/invoice/paymentrequestdigests,vendorCode={vendor},,
How do I create a new invoice?,Invoice Management,POST,/api/v3.0/invoice/paymentrequests,Body: Complete invoice details,,
What invoices were paid last month?,Invoice Management,GET,/invoice/payment-confirmation/v4/payments,paymentDate between last month dates,,
Show me invoices with exceptions,Invoice Management,GET,/api/v3.0/invoice/paymentrequestdigests,hasException=Y,,
Can I update the invoice due date?,Invoice Management,PUT,/api/v3.0/invoice/paymentrequests/{id},Body: {dueDate: new date},,
Which invoices are overdue?,Invoice Management,GET,/api/v3.0/invoice/paymentrequestdigests,dueDate < today & paymentStatus ≠ PAID,,
Show me the approval history for this invoice,Invoice Management,GET,/api/v3.0/invoice/paymentrequests/{id},Approval workflow in response,,
What purchase orders are open?,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders,status=OPEN,,
Show me PO details for PO-2024-001,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders,purchaseOrderNumber=PO-2024-001,,
Can I see receipts for this purchase order?,Purchase Orders,GET,/api/v3.0/invoice/purchaseorderreceipts,purchaseOrderId={id},,
How do I create a goods receipt?,Purchase Orders,POST,/api/v3.0/invoice/purchaseorderreceipts,"Body: PO reference, received quantity, date",,
What's the remaining balance on this PO?,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders/{id},Calculate: TotalAmount - InvoicedAmount,,
Show me POs for a specific vendor,Purchase Orders,GET,/api/v3.0/invoice/purchaseorders,vendorCode={vendor},,
Can I update a PO receipt quantity?,Purchase Orders,PUT,/api/v3.0/invoice/purchaseorderreceipts/{id},Body: Updated ReceivedQuantity,,
What purchase requests need approval?,Purchase Requests,GET,/api/v4/purchaserequest/purchaserequests,status=PENDING_APPROVAL,,
How do I create a new purchase request?,Purchase Requests,POST,/api/v4/purchaserequest/purchaserequests,"Body: PR details, line items, approvers",,
Show me approved purchase requests,Purchase Requests,GET,/api/v4/purchaserequest/purchaserequests,status=APPROVED,,
What vendors are in our system?,Vendor Management,GET,/api/v3.1/invoice/vendors,limit=100&offset=0,,
Show me vendor details for ACME Corp,Vendor Management,GET,/api/v3.1/invoice/vendors,vendorCode=ACME or vendorName contains ACME,,
How do I create a new vendor?,Vendor Management,POST,/api/v3.1/invoice/vendors,"Body: Vendor details (name, code, address, payment terms)",,
Can I update vendor payment information?,Vendor Management,PUT,/api/v3.1/invoice/vendors,"Body: Updated bank details, payment method",,
Which vendors have ACH payment enabled?,Vendor Management,GET,/api/v3.1/invoice/vendors,paymentMethodType=ACH,,
Show me inactive vendors,Vendor Management,GET,/api/v3.1/invoice/vendors,status=INACTIVE,,
How do I deactivate a vendor?,Vendor Management,PUT,/api/v3.1/invoice/vendors,Body: {status: INACTIVE},,
Can I see vendor tax information?,Vendor Management,GET,/api/v3.1/invoice/vendors/{id},TaxID and tax details in response,,
Show me vendors added this month,Vendor Management,GET,/api/v3.1/invoice/vendors,createdDate >= month start,,
Which vendors require W-9 forms?,Vendor Management,GET,/api/v3.1/invoice/vendors,"country=US&taxFormRequired=Y, custom tracking",,
How do I update a vendor's address?,Vendor Management,PUT,/api/v3.1/invoice/vendors,Body: Updated address fields,,
How does a tax service retrieve tax calculation requests?,Sales Tax Validation,GET,/api/v3.0/invoice/salestaxvalidationrequest,Returns pending tax calculations,,
How do I submit calculated tax amounts?,Sales Tax Validation,PUT,/api/v3.0/invoice/salestaxvalidationrequest,Body: Calculated tax details,,
What transactions are on my corporate card?,Corporate Cards,GET,/api/v4/cards/transactions,accountId={cardAccount}&transactionDate>={startDate},,
Show me unmatched card transactions,Corporate Cards,GET,/api/v4/cards/transactions,isMatched=false or similar filter,,
What's my card account balance?,Corporate Cards,GET,/api/v4/cards/accounts/{accountId},Balance and credit limit,,
How do I upload a receipt?,Receipts & Images,POST,/receipts/v4/users/{userId},Multipart: receipt image + metadata,,
Show me the receipt for this expense,Receipts & Images,GET,/api/v4/spend-documents/receipts/{receiptId},Returns receipt image/PDF,,
Can I retrieve receipt data via OCR?,Receipts & Images,GET,/spend-documents/v4/receipts/{receiptId},OCR data in response if available,,
What's the status of my uploaded receipt?,Receipts & Images,GET,/receipts/v4/status/{receiptId},Processing status,,
How do I get the receipt image URL?,Receipts & Images,GET,/api/image/v1.0/receipt/{imageId},Returns image URL,,
Show me receipts pending review,Receipts & Images,GET,/receipts/v4/users/{userId},Filter by status=PENDING_REVIEW,,
Can I delete a receipt?,Receipts & Images,DELETE,/receipts/v4/{receiptId},Removes receipt,,
How do I link a receipt to an expense?,Receipts & Images,PUT,/api/v3.0/expense/entries/{id},Body: Include receiptImageId,,
What receipts were uploaded today?,Receipts & Images,GET,/receipts/v4/users/{userId},Filter by uploadDate=today,,
Show me receipts that failed processing,Receipts & Images,GET,/receipts/v4/status,status=FAILED,,
How do I upload a PDF receipt?,Receipts & Images,POST,/receipts/v4/users/{userId},Multipart: PDF file (max 10MB) + metadata,,
What merchants are on my recent receipts?,Receipts & Images,GET,/spend-documents/v4/receipts,Parse merchant name from OCR data,,
Show me receipts with compliance issues,Receipts & Images,GET,/spend-documents/v4/receipts,Check for complianceStatus flags,,
Can I update receipt metadata?,Receipts & Images,PUT,/receipts/v4/{receiptId},Body: Updated metadata,,
How do I get receipt data for tax reclaim?,Receipts & Images,GET,/spend-documents/v4/receipts,"Extract VAT amounts, merchant tax IDs",,
Show me all e-receipts from hotel partners,Receipts & Images,GET,/receipts/v4/users/{userId},"Filter by source=E-RECEIPT, merchant type",,
Can I see duplicate receipt detection results?,Receipts & Images,GET,/spend-documents/v4/receipts/{receiptId},Check for duplicate flags in response,,
How do I create a quick expense with my mobile app?,Quick Expenses,POST,/quickexpense/v4/users/{userId}/context/TRAVELER/quickexpenses,"Body: {amount, transactionDate, expenseTypeId}",,
Can I submit a quick expense with a photo?,Quick Expenses,POST,/quickexpense/v4/users/{userId}/context/TRAVELER/quickexpenses/image,Multipart: expense JSON + image,,
How do I submit my expense report?,Workflows & Approvals,POST,/expensereports/v4/reports/{reportId}/submit,Body: {comment (optional)},,
Can I recall a submitted report?,Workflows & Approvals,POST,/expensereports/v4/reports/{reportId}/recall,No body required,,
How do I approve an expense report?,Workflows & Approvals,POST,/expensereports/v4/reports/{reportId}/approve,Body: {comment (optional)},,
Show me how to send back a report for corrections,Workflows & Approvals,POST,/expensereports/v4/reports/{reportId}/sendback,Body: {comment: reason for sendback},,
Can I assign a report to another approver?,Workflows & Approvals,PATCH,/expensereports/v4/reports/{reportId},"Reassign workflow, may require custom implementation",,
How do I withdraw a travel request?,Workflows & Approvals,POST,/travelrequest/v4/requests/{uuid}/cancel,Cancels pending request,,
How do I create a new user?,User Provisioning,POST,/profile/v4/Users/,Body: Complete user profile with extensions,,
Can I update a user's manager?,User Provisioning,PATCH,/profile/v4/Users/{uuid},Body: {manager: {value: managerUUID}},,
How do I deactivate a terminated employee?,User Provisioning,PATCH,/profile/v4/Users/{uuid},"Body: {active: false, terminationDate}",,
Show me the status of a provision operation,User Provisioning,GET,/profile/v4/provisions/{id}/status,Returns operation status and any errors,,
Can I bulk create 50 users?,User Provisioning,POST,/profile/v4/Bulk/,Body: Array of up to 100 operations,,
How do I add expense delegate to a user?,User Provisioning,PATCH,/profile/v4/Users/{uuid},Body: Add SpendDelegate extension,,
What users were created this week?,User Provisioning,GET,/identity/v4.1/Users/.search,filter=meta.created ge {weekStart},,
Can I update a user's cost center?,User Provisioning,PATCH,/profile/v4/Users/{uuid},Body: Update SpendUser extension,,
How do I assign roles to a user?,User Provisioning,PATCH,/profile/v4/Users/{uuid},Body: {roles: [{value: roleId}]},,
How do I search for users by email?,Identity Management,POST,/identity/v4.1/Users/.search,Body: {filter: emails.value eq user@company.com},,
Show me all active users in the system,Identity Management,POST,/identity/v4.1/Users/.search,"Body: {filter: active eq true, count: 1000}",,
Can I get a user's profile by UUID?,Identity Management,GET,/identity/v4.1/Users/{uuid},Returns complete user profile,,
How do I find users in a specific department?,Identity Management,POST,/identity/v4.1/Users/.search,Body: {filter: department eq Sales},,
Can I retrieve a user's groups?,Identity Management,GET,/identity/v4.1/Users/{uuid},Groups in response,,
